id_sede,nombre
ERUMA,Sección Económica y Comercial
ERUMA,Sección Consular
ERUNI,Económica y Comercial
ERUNI,Sección Política y Coordinación
ERUNI,Administración
ERUNI,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
ERUNI,"Sección Económica, Comercial y Turismo"
ERUNI,"Agregaduría de Defensa, Militar, Naval y Fuerza Aérea"
ERUNI,Seccion Politica
ERUNI,Administración
ERUNI,Seccion Prensa
ERUNI,Sección Cultural
ERUNI,Económica y Comercial
ERUNI,Protocolo
ESAFR,Sección Administrativa
ESAFR,Sección Económica y Comercial
ESAFR,"Sección Cultural, Prensa y Diplomacia Pública"
ESAFR,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
ESALV,Prensa
ESALV,Sección Consular
ESALV,Sección Comercial e Inversiones
ESALV,Administrativa - Contable
ESALV,Cultural
ESERB,Sección Económica y Comercial
ESERB,Sección Administrativa
ESERB,Sección Consular
ESERB,"Sección Cultural, Educación y Turismo"
ESING,Sección Política y Cultural
ESING,Sección Consular
ESING,Sección Administrativa
ESING,"Sección Económica, Comercial y de Inversiones"
ESSED,Jefa de Sección Secretaría y Despacho
ESSED,"Sección Administración, Economato, Contabilidad e Inventario"
ESSED,Sección Cultura
ESSED,"Sección Prensa, Redes Sociales y Comunicación"
ESSED,Jefa de Cancillería
ESSED,Embajadora
ESUEC,Sección Consular
ESUEC,Sección Política
ESUEC,"Sección Económica, Comercial y de Promoción de Inversiones"
ESUEC,Sección Cultural y de Prensa
ESUIZ,"Sección Económica, Comercial y de Inversiones"
ESUIZ,Sección Política
ESUIZ,Sección Consular
ESUIZ,Sección Cultural
ESUIZ,Jefe de Cancillería
ESURI,Sección Cultural
ESURI,Sección Política
ESURI,Agregaduria de Defensa
ESURI,Sección Consular
ESURI,Sección Administrativa
ESURI,Sección Económica y Comercial
ETAIL,Sección Política
ETAIL,Agregado Administrativo
ETAIL,Sección Económica y Comercial
ETAIL,Sección Consular
ETAIL,Sección Cultural
ETAIL,Jefe de Cancillería
ETRIA,Asuntos ONUDD
ETRIA,Sección de Cooperación Jurídica
ETRIA,Asuntos ONUAEE
ETRIA,"Asuntos Nucleares (OIEA, CTBTO, Zangger C., NSG)"
ETRIA,Sección Bilateral
ETRIA,Asuntos ONUDI
ETRIA,Sección de Administración
ETRIA,Sección Consular
ETRIA,Sección de DDHH y Género
ETRIA,Sección Cultural
ETRIA,Sección Comercial
ETRIN,Sección
ETUNE,Cooperación Internacional
ETUNE,Sección Económica y Comercial
ETUNE,Jefe de Cancillería
ETUNE,Sección Consular
ETUNE,Asuntos Culturales
ETUNE,Sección Política
ETUNE,Prensa
ETURQ,Sección Consular
ETURQ,Sección Económica y Comercial
ETURQ,Sección Cultural
ETURQ,Agregada para Asuntos Administrativos
EUCRA,Sección Cultural
EUCRA,Sección Consular
EUCRA,Sección Económica y Comercial
EUCRA,Sección Política
EUNGR,Sección Consular
EUNGR,Sección Administrativa
EUNGR,Sección Cultural
EUNGR,Jefe de Cancillería
EUNGR,Sección Política
EURUG,Sección Cultural
EURUG,Jefe de Cancillería
EURUG,Sección Comercial
EURUG,Sección Política
EVENE,Sección Económica y Comercial
EVENE,Sección Administrativa
EVENE,Sección Consular
EVENE,Sección Cultural
EVENE,Sección Política
EVIET,Sección Prensa y Cultura
EVIET,Sección Política y Cooperación
EVIET,"Sección Económica, Comercial y de Inversiones"
EVIET,Sección Consular
